user_id,tw_lag7_watched,tw_lag6_watched,tw_lag5_watched,tw_lag4_watched,tw_lag3_watched,tw_lag2_watched,tw_lag1_watched,average_completion,total_sessions,num_genre,num_weekday,num_timeday,most_genre_Children's,most_genre_Comedy,most_genre_Drama,most_genre_Entertainment,most_genre_Factual,most_genre_Learning,most_genre_Music,most_genre_News,most_genre_Religion & Ethics,most_genre_Sport,most_genre_Weather,most_weekday_weekday_0,most_weekday_weekday_1,most_weekday_weekday_2,most_weekday_weekday_3,most_weekday_weekday_4,most_weekday_weekday_5,most_weekday_weekday_6,most_timeday_Afternoon,most_timeday_Evening,most_timeday_Morning,most_timeday_Night
TKFBTH,342.3717500000001,356.60176666666666,389.3128333333333,0.0,0.0,0.0,0.0,0.2504126839915817,53,7,7,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TKGUVV,1.0837166666666669,0.0,27.0654,46.042316666666665,15.675233333333335,17.90385,89.47794999999999,0.1884432227428331,34,4,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
TKIEQZ,0.087,0.0,0.0,0.0,0.0,0.0,31.142050000000005,0.3224977744215083,8,5,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TKKKYR,85.99046666666668,0.0,0.0,0.0,0.0,0.0,511.3176500000002,0.3271375706718441,46,6,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TKLRDO,1.9603,0.0,0.0,0.0,0.0,0.0,0.0,0.023062352941176468,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
TKQFMF,0.0,7.667166666666667,0.0,0.0,0.0,0.0,0.0,0.5308333333333334,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
TKVZSH,176.62893333333332,545.52315,221.49636666666666,0.0,0.0,0.0,0.0,0.33550787368663626,81,6,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TKWKXL,0.0,46.651250000000005,84.77131666666668,0.0,0.0,66.71733333333334,0.0,0.4904882437146187,22,6,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TKYLRC,0.0,0.11929999999999999,0.0,0.0,0.0,0.0,0.0,0.0010325,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
TLASPU,23.065549999999998,0.061849999999999995,0.3320833333333334,98.11733333333333,83.09058333333334,57.66204999999999,53.03386666666667,0.2722027704678362,38,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
TLBQPG,43.851183333333346,0.0,0.0,0.0,0.0,0.0,0.0,0.48723537037037046,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
TLCJDM,85.34691666666666,124.75546666666666,19.146783333333328,62.54416666666667,41.923550000000006,56.33761666666666,41.190333333333335,0.38401117754261066,99,7,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
TLDMXZ,0.0,0.0,7.049083333333333,0.0,0.0,0.0,0.0,0.23496944444444445,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TLDZYB,0.0,23.6312,14.1391,0.17326666666666668,0.12903333333333333,0.0,123.58494999999999,0.18523357265903706,11,7,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TLJZDW,167.90966666666668,0.69635,81.1277,409.03923333333336,26.36916666666666,123.20238333333333,58.03816666666667,0.39703261710899057,42,6,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TLKLHH,0.0,1.3185666666666669,0.0,0.0,57.66941666666666,0.0,0.0,0.3301528086419753,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
